;M;SD
eigwn6.1;3,5;0,78
bring6.2;3,39;0,76
abhol6.3;3,37;0,75
rhslf6.4;3,33;0,79
umgng7.1;3,65;0,52
begrs7.2;3,51;0,74
eltrn7.3;3,64;0,56
mtein7.4;3,57;0,62
siort7.5;3,53;0,64
ermt7.6;3,55;0,64
gespr8.1;3,19;0,82
anspr8.2;3,39;0,74
ofohr8.3;3,45;0,76
austs8.4;3,46;0,71
infrm8.5;2,98;0,95
etwgs8.6;3,27;0,86
ptner8.7;2,72;0,98
ausef8.8;2,74;1
auflt8.9;3,21;0,82
mitw8.10;3,18;0,82
eamt8.11;3,31;0,8
hosp8.12;3,09;0,87
pdar8.13;3,07;0,84
eins8.14;2,79;0,95
besw8.15;3,26;0,77
ents8.16;3,1;0,91
eazf8.17;3,18;0,81
ifpd8.18;3,15;0,81
betl8.19;3,35;0,76
gsmt8.20;3,28;0,77
ifokd9.1;3,11;0,81
ifopk9.2;3,08;0,82
ifomg9.3;3,03;0,85
ifotg9.4;3,2;0,81
ifoes9.5;3,5;0,7
ifobe9.6;2,68;1
ifoei9.7;3,24;0,72
ifotr9.8;2,84;0,87
Kitadauer;2,28;1,08
Alter;3,97;1,16
Region;NA;2,22
